"Congratulations.  Your facebook account is now connected with our store.","Congratulations.  Your facebook account is now connected with our store."
"You can edit your shipping addresses in your account page.","You can edit your shipping addresses in your account page."
"Edit your shipping address: <a href=""%s"">click here.</a>","Edit your shipping address: <a href=""%s"">click here.</a>"
"Add your e-mail: <a href=""%s"">click here.</a>","Add your e-mail: <a href=""%"s"">click here.</a>"
"Or allow us to e-mail you via Facebook: <a target=""_blank"" href=""%s"">click here.</a>","Or allow us to e-mail you via Facebook: <a target=""_blank"" href=""%s"">click here.</a>"
"Welcome, %s!","Welcome, %s!"
"Welcome back, %s!","Welcome back, %s!"
"Allow us to e-mail you via Facebook: <a target=""_blank"" href=""%s"">click here.</a>","Allow us to e-mail you via Facebook: <a target=""_blank"" href=""%s"">click here.</a>"
"If you previously used Facebook connect, click below.","If you previously used Facebook connect, click below."
"If you already have an account you can connect it with Facebook from your account page.","If you already have an account you can connect it with Facebook from your account page."
"Use your Facebook account for super-fast logins.","Use your Facebook account for super-fast logins."

;admin screens
"Enable Facebook Connect features","Enable Facebook Connect features"
"API Key","API Key"
"App Secret","App Secret"

;FB notification
"Visit your account.","Visit your account."

;account page
"Connect to an existing Account","Connect to an existing Account"
"Enter your current username and password to connect your Facebook account with a previously registered account.","Enter your current username and password to connect your Facebook account with a previously registered account."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"

"Email Connect","Email Connect"
"Here you can elect to receive full emails from our store to your normal email account via Facebook. At any time you can turn off the ability to receive emails.","Here you can elect to receive full emails from our store to your normal email account via Facebook. At any time you can turn off the ability to receive emails."
"Change your Facebook email connect settings: <a target="_blank" href="%s">click here.</a>","Change your Facebook email connect settings: <a target="_blank" href="%s">click here.</a>"
